#{"t_start": 1653392763.088989, "env_id": "donkey-generated-track-v0"}
r,l,t
540.452358,76,4.876834
398.126551,74,7.789033
360.736056,60,10.518181
184.710546,70,13.418389
204.57041,47,15.986048
628.629809,76,18.920341
260.386658,49,21.510941
257.393008,50,24.129435
431.237279,150,28.023584
350.406696,84,31.07587
269.130875,80,34.062143
194.645305,59,36.784964
563.572553,75,39.716727
178.524889,176,43.887013
422.509935,103,47.173335
216.182654,80,50.169028
222.808113,58,52.902893
205.831211,71,55.774232
179.078949,88,58.90865
212.693085,43,61.431468
565.395921,68,64.296228
550.735976,93,67.445369
180.140034,90,70.588756
204.23962,84,73.65187
476.429222,116,77.099603
146.809603,29,82.983979
224.906979,78,85.959125
180.749061,39,88.445786
599.826235,77,91.430223
186.363781,68,94.25831
317.61545,62,97.054694
191.965214,67,99.873155
352.107665,64,102.660293
473.215269,67,105.514347
355.03153,78,108.483067
384.675743,87,111.576602
174.380204,67,114.415075
212.167688,66,117.236431
590.01722,101,120.484481
176.217414,52,123.12389
285.445704,71,126.023414
351.684159,140,129.775744
318.392921,63,132.55794
185.531271,87,135.6319
189.144983,74,138.552248
629.725264,100,141.808626
182.772754,50,144.447456
550.876444,71,147.345523
595.053075,95,150.518496
453.71838,65,153.336106
217.653611,56,156.065733
331.382149,67,158.891734
360.582498,73,161.797142
182.685988,52,164.428796
16.563996,11,170.008628
